accountsapid,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Final_Churn,Final_churn_ProbabilityScore
155870.0,1,1,1,0,1,0,5.83692648285726e-08
1016947.0,0,1,0,1,2,1,0.9983319227179405
162703.0,1,1,1,0,1,0,0.011475926121345431
1010163.0,1,1,0,1,1,0,2.8008003851559188e-05
272100.0,1,0,1,1,1,0,1.3064952614067005e-06
851130.0,1,0,0,1,0,1,0.9999985640108803
746696.0,1,1,1,0,1,0,0.2980245516660004
769754.0,1,0,0,1,0,1,0.9999976763326563
1007425.0,1,1,1,0,1,0,0.38223104991085066
850880.0,0,1,0,1,0,1,0.9962378057759773
168222.0,0,1,0,1,2,1,0.9950627924166735
150714.0,1,1,1,0,1,0,0.11392672276284231
1003013.0,1,0,1,1,1,0,0.9150769386299311
1006415.0,1,1,1,0,2,1,0.3544130500718398
810006.0,1,1,1,0,1,0,0.00021557858895601773
268095.0,0,1,1,0,1,0,6.454359634656898e-05
1022159.0,0,0,1,0,0,0,0.4067208773675723
859419.0,1,1,0,1,1,0,0.001581318538898052
851787.0,1,0,0,1,0,1,0.9999308513982808
1017189.0,0,0,1,0,0,0,0.08594334574047584
225432.0,1,1,1,0,1,0,0.0002330080115152682
158006.0,1,1,0,1,2,1,0.9711759044769293
831690.0,1,0,0,1,2,1,0.9937762514846906
705622.0,0,1,0,1,0,1,0.9914029405956402
145980.0,1,0,0,1,1,0,0.24580458208245554
215040.0,1,0,0,1,0,1,0.9999942852986746
862446.0,1,0,0,1,2,1,0.9999681464224516
160896.0,1,1,0,1,1,0,5.8706987797888255e-05
272371.0,1,1,0,1,1,0,0.001165160442422292
154227.0,1,0,0,1,0,1,0.9999995585946712
252140.0,1,1,0,1,1,0,0.0003494001784519439
157822.0,1,0,1,1,1,0,3.6504900446128695e-10
850570.0,1,1,1,0,1,0,0.20930882777880377
272400.0,0,1,0,1,0,1,0.9941491691881696
1012767.0,1,1,1,0,1,0,0.0008711227521222551
1008992.0,1,0,0,1,0,1,0.9999993220235763
1002525.0,1,1,0,1,2,1,0.9960383994630796
1019948.0,0,1,1,0,1,0,0.04825645659772084
203352.0,1,1,1,0,1,0,0.0071640977790934385
1023505.0,0,0,1,0,0,0,0.12007584944731764
1010247.0,0,0,1,0,0,0,0.11306588989774564
144395.0,0,1,1,0,1,0,0.0006390914010713684
163589.0,1,1,1,0,1,0,0.2771962350748288
220105.0,1,0,0,1,0,1,0.999946737826523
146974.0,1,1,1,0,1,0,0.0002770002029612927
